date;no;no2;nox;so2
2013-07-07;2,54;25,79;29,46;1,21
2013-07-08;4,13;42,5;48,71;2,38
2013-07-09;6,9;40,67;50,81;2,83
2013-07-10;9,38;34,58;48,5;1,21
2013-07-11;9,5;41,04;55,17;1,0
2013-07-12;8,58;32,29;45,0;1,04
2013-07-13;4,63;24,38;31,13;1,0
2013-07-14;1,92;19,42;22,04;1,42
2013-07-15;3,83;24,92;30,54;1,0
2013-07-16;9,58;30,79;45,0;1,0
2013-07-17;5,55;25,91;34,36;1,09
2013-07-18;4,33;27,58;33,96;1,0
2013-07-19;8,67;38,71;51,75;1,0
2013-07-20;2,79;25,0;29,0;1,04
2013-07-21;2,88;21,25;25,21;1,0
2013-07-22;8,88;34,04;47,21;1,71
2013-07-23;14,58;34,79;56,92;1,13
2013-07-24;10,96;34,96;51,54;1,0
2013-07-25;11,79;25,54;43,46;1,04
2013-07-26;12,25;34,63;53,38;1,75
2013-07-27;1,75;11,21;13,67;1,0
2013-07-28;2,79;15,79;19,63;1,0
2013-07-29;2,63;13,04;16,75;1,0
2013-07-30;9,95;25,71;40,38;1,0
2013-07-31;9,33;30,42;44,5;1,29
2013-08-01;8,58;29,25;42,0;1,0
2013-08-02;11,25;31,88;48,54;1,0
2013-08-03;4,75;35,04;42,25;1,04
2013-08-04;3,67;23,04;27,96;1,0
2013-08-05;8,71;30,67;43,58;1,04
2013-08-06;6,71;29,71;39,5;1,0
2013-08-07;10,29;22,75;38,33;1,0
2013-08-08;2,83;16,21;20,17;1,0
2013-08-09;4,13;22,58;28,46;1,0
2013-08-10;2,5;15,04;18,54;1,0
2013-08-11;3,17;20,75;25,17;1,08
2013-08-12;6,17;26,38;35,29;1,08
2013-08-13;9,79;27,04;41,71;1,5
2013-08-14;6,05;23,43;32,33;1,0
2013-08-15;1,21;8,88;10,17;1,0
2013-08-16;5,83;21,71;30,21;1,0
2013-08-17;1,63;14,29;16,54;1,04
2013-08-18;2,08;16,13;19,08;1,04
2013-08-19;8,04;20,54;32,42;1,17
2013-08-20;4,17;15,54;21,54;1,04
2013-08-21;7,71;19,21;30,58;1,0
2013-08-22;8,63;21,71;34,71;1,04
2013-08-23;6,33;24,83;34,13;1,08
2013-08-24;3,54;21,75;26,63;1,13
2013-08-25;1,63;9,0;11,25;1,0
